# MCTS: [] []
# PLAYERS: [MCTS_TicketToRide.PlayerType.random]
GAME,WINNER,TIME,random
149,0,0.0373690128326416,32
150,0,0.03812301158905029,33
151,0,0.04790198802947998,35
152,0,0.039559006690979004,32
153,0,0.04744899272918701,32
154,0,0.08574104309082031,32
155,0,0.03926897048950195,32
156,0,0.0730060338973999,32
157,0,0.07335102558135986,32
158,0,0.08407104015350342,32
159,0,0.05734694004058838,32
160,0,0.038792967796325684,32
161,0,0.052420973777770996,34
162,0,0.046133995056152344,32
163,0,0.04539000988006592,34
164,0,0.059953927993774414,32
165,0,0.051025986671447754,34
166,0,0.054450035095214844,32
167,0,0.0410999059677124,32
168,0,0.05643296241760254,32
169,0,0.058566927909851074,32
170,0,0.06042897701263428,32
171,0,0.04121196269989014,32
172,0,0.04040193557739258,32
173,0,0.03664898872375488,32
174,0,0.03869307041168213,32
175,0,0.06014597415924072,32
176,0,0.06511199474334717,35
177,0,0.06009995937347412,34
178,0,0.03808796405792236,32
179,0,0.04178500175476074,32
180,0,0.04121994972229004,32
181,0,0.0476069450378418,32
182,0,0.04009699821472168,32
183,0,0.06506609916687012,34
184,0,0.07084202766418457,34
185,0,0.056282997131347656,32
186,0,0.053961992263793945,34
187,0,0.061174988746643066,36
188,0,0.04641008377075195,32
189,0,0.04587697982788086,34
190,0,0.03756594657897949,34
191,0,0.03574395179748535,34
192,0,0.06099104881286621,32
193,0,0.0499119758605957,32
194,0,0.04231405258178711,34
195,0,0.04046797752380371,32
196,0,0.03787195682525635,32
197,0,0.04140806198120117,32
198,0,0.04217803478240967,32
199,0,0.035519957542419434,32
200,0,0.036267995834350586,32
201,0,0.03782200813293457,32
202,0,0.04806089401245117,32
203,0,0.041938066482543945,32
204,0,0.042887091636657715,32
205,0,0.04032599925994873,32
206,0,0.04318499565124512,32
207,0,0.041165947914123535,32
208,0,0.04956197738647461,34
209,0,0.05162489414215088,34
210,0,0.04579603672027588,32
211,0,0.04200100898742676,32
212,0,0.03955209255218506,32
213,0,0.04025101661682129,32
214,0,0.03486990928649902,32
215,0,0.06468510627746582,32
216,0,0.06249797344207764,32
217,0,0.05896401405334473,32
218,0,0.039201974868774414,32
219,0,0.040145039558410645,32
220,0,0.0425410270690918,32
221,0,0.040611982345581055,32
222,0,0.03960096836090088,33
223,0,0.041316986083984375,32
224,0,0.0403289794921875,32
225,0,0.041314005851745605,32
226,0,0.04485905170440674,32
227,0,0.045867085456848145,33
228,0,0.03821706771850586,32
229,0,0.04078400135040283,32
230,0,0.040644049644470215,32
231,0,0.048406004905700684,32
232,0,0.07668900489807129,34
233,0,0.07044196128845215,34
234,0,0.04808306694030762,32
235,0,0.06118893623352051,33
236,0,0.047171950340270996,34
237,0,0.03206193447113037,32
238,0,0.04691004753112793,34
239,0,0.08969402313232422,32
240,0,0.04505801200866699,34
241,0,0.04283499717712402,32
242,0,0.09251201152801514,34
243,0,0.046543002128601074,32
244,0,0.04218292236328125,32
245,0,0.03768491744995117,32
246,0,0.04593396186828613,32
247,0,0.04333007335662842,32
248,0,0.04535102844238281,32
249,0,0.03768002986907959,32
250,0,0.040562987327575684,32
251,0,0.04571795463562012,32
252,0,0.044631004333496094,34
253,0,0.04506993293762207,32
254,0,0.04255402088165283,32
255,0,0.07461702823638916,32
256,0,0.040722012519836426,32
257,0,0.04664599895477295,36
258,0,0.04333508014678955,32
259,0,0.03505206108093262,32
260,0,0.0555950403213501,32
261,0,0.03570199012756348,32
262,0,0.0429379940032959,32
263,0,0.04189300537109375,33
264,0,0.04230499267578125,32
265,0,0.04489290714263916,33
266,0,0.04330098628997803,32
267,0,0.04261195659637451,34
268,0,0.03921496868133545,32
269,0,0.0454869270324707,32
270,0,0.039227962493896484,32
271,0,0.03612709045410156,32
272,0,0.04948699474334717,32
273,0,0.03751707077026367,32
274,0,0.03763091564178467,32
275,0,0.05015099048614502,32
276,0,0.040209054946899414,32
277,0,0.05328500270843506,33
278,0,0.04207003116607666,32
279,0,0.04077601432800293,32
280,0,0.045928955078125,34
281,0,0.0437389612197876,34
282,0,0.04208695888519287,34
283,0,0.03711497783660889,32
284,0,0.039878010749816895,32
285,0,0.04344511032104492,32
286,0,0.03583705425262451,34
287,0,0.036495089530944824,32
288,0,0.04050898551940918,32
289,0,0.03561198711395264,32
290,0,0.038989901542663574,34
291,0,0.048013925552368164,32
292,0,0.03514301776885986,32
293,0,0.047171950340270996,32
294,0,0.0377730131149292,32
295,0,0.06968510150909424,32
296,0,0.04818308353424072,32
297,0,0.045626044273376465,32
298,0,0.045234084129333496,32
299,0,0.03847396373748779,33
300,0,0.03948104381561279,32
301,0,0.04450094699859619,32
302,0,0.036978960037231445,32
303,0,0.03524899482727051,32
304,0,0.04772794246673584,32
305,0,0.04345595836639404,32
306,0,0.05875194072723389,34
307,0,0.0460129976272583,32
308,0,0.04669594764709473,32
309,0,0.047224998474121094,34
310,0,0.041751980781555176,33
311,0,0.04149806499481201,32
312,0,0.04125106334686279,32
313,0,0.051965951919555664,32
314,0,0.043766021728515625,32
315,0,0.04762101173400879,34
316,0,0.04547691345214844,34
317,0,0.033926963806152344,32
318,0,0.04793202877044678,32
319,0,0.04952800273895264,34
320,0,0.042388916015625,32
321,0,0.05367600917816162,32
322,0,0.03607296943664551,32
323,0,0.03922998905181885,33
324,0,0.05106496810913086,32
325,0,0.05200600624084473,32
326,0,0.05254209041595459,34
327,0,0.04853200912475586,32
328,0,0.040368080139160156,32
329,0,0.03966999053955078,34
330,0,0.04008197784423828,32
331,0,0.03292691707611084,32
332,0,0.049229979515075684,33
333,0,0.0373610258102417,32
334,0,0.041792988777160645,32
335,0,0.04885697364807129,32
336,0,0.0523989200592041,36
337,0,0.046041011810302734,34
338,0,0.0428469181060791,32
339,0,0.04302501678466797,32
340,0,0.04290306568145752,32
341,0,0.04298901557922363,32
342,0,0.04449903964996338,32
343,0,0.04587101936340332,32
344,0,0.04391801357269287,32
345,0,0.045236945152282715,34
346,0,0.041644930839538574,32
347,0,0.03904604911804199,32
348,0,0.04345810413360596,32
349,0,0.03855407238006592,32
350,0,0.04188406467437744,32
351,0,0.037941932678222656,32
352,0,0.04202699661254883,32
353,0,0.04308903217315674,32
354,0,0.04457390308380127,32
355,0,0.046690940856933594,32
356,0,0.045355916023254395,34
357,0,0.04153406620025635,32
358,0,0.04030299186706543,32
359,0,0.044103026390075684,32
360,0,0.04182898998260498,32
361,0,0.045169949531555176,32
362,0,0.03973197937011719,32
363,0,0.04966700077056885,34
364,0,0.052976012229919434,32
365,0,0.04096698760986328,32
366,0,0.04161393642425537,32
367,0,0.04010498523712158,32
368,0,0.051438093185424805,34
369,0,0.049813032150268555,32
370,0,0.04002797603607178,32
371,0,0.04569101333618164,32
372,0,0.04158902168273926,32
373,0,0.04213309288024902,32
374,0,0.03924095630645752,32
375,0,0.04427003860473633,32
376,0,0.040846943855285645,32
377,0,0.043138980865478516,32
378,0,0.04139602184295654,32
379,0,0.038861989974975586,32
380,0,0.062445998191833496,32
381,0,0.03563499450683594,32
382,0,0.04333198070526123,32
383,0,0.04793596267700195,33
384,0,0.04729104042053223,32
385,0,0.049318909645080566,32
386,0,0.03868389129638672,32
387,0,0.04461801052093506,32
388,0,0.045886993408203125,32
389,0,0.04547905921936035,32
390,0,0.0586390495300293,34
391,0,0.047505974769592285,32
392,0,0.03918194770812988,32
393,0,0.05111896991729736,32
394,0,0.05437898635864258,32
395,0,0.04852497577667236,32
396,0,0.03758406639099121,32
397,0,0.04116702079772949,34
398,0,0.03891301155090332,32
399,0,0.039057016372680664,34
400,0,0.043827056884765625,32
401,0,0.04870498180389404,32
402,0,0.044497013092041016,32
403,0,0.03527402877807617,33
404,0,0.047888994216918945,32
405,0,0.0455399751663208,33
406,0,0.03359699249267578,32
407,0,0.0482330322265625,34
408,0,0.05144703388214111,32
409,0,0.04808700084686279,32
410,0,0.041197896003723145,32
411,0,0.049446940422058105,32
412,0,0.042677998542785645,32
413,0,0.057962894439697266,34
414,0,0.033183932304382324,32
415,0,0.04105401039123535,32
416,0,0.05009293556213379,32
417,0,0.040184974670410156,32
418,0,0.04519498348236084,34
