GAME,WINNER,TIME,random,random
139,1,0.1569221019744873,23,37
140,0,0.12950897216796875,35,35
141,0,0.15408802032470703,40,21
142,1,0.1602950096130371,26,38
143,0,0.17060494422912598,38,22
144,1,0.11224603652954102,23,36
145,0,0.11973106861114502,37,23
146,1,0.13540005683898926,23,37
147,1,0.1435149908065796,27,37
148,0,0.1295490264892578,35,21
149,0,0.14125406742095947,35,35
150,1,0.12006592750549316,21,35
151,0,0.13289105892181396,36,20
152,1,0.13971590995788574,23,37
153,0,0.11550700664520264,37,20
154,1,0.14435803890228271,24,35
155,1,0.12145400047302246,23,37
156,1,0.1201859712600708,18,38
157,0,0.12759196758270264,36,24
158,0,0.19390809535980225,36,24
159,0,0.1502300500869751,37,19
160,1,0.1356130838394165,23,37
161,1,0.12495410442352295,21,37
162,1,0.12939703464508057,18,38
163,0,0.13444900512695312,37,23
164,0,0.13848304748535156,36,22
165,0,0.12208199501037598,35,25
166,1,0.1179800033569336,20,36
167,1,0.14065396785736084,23,37
168,0,0.13579308986663818,35,35
169,0,0.11780011653900146,36,22
170,0,0.13682997226715088,38,38
171,0,0.11988699436187744,35,35
172,1,0.14815306663513184,23,37
173,0,0.13122200965881348,37,23
174,0,0.11792707443237305,35,21
175,1,0.14200091361999512,24,36
176,0,0.13037705421447754,35,35
177,0,0.13167905807495117,39,21
178,0,0.13886094093322754,36,18
179,0,0.15402400493621826,35,21
180,0,0.13849902153015137,35,21
181,1,0.13502001762390137,25,37
182,1,0.12538397312164307,19,37
183,0,0.13182497024536133,35,35
184,0,0.12180197238922119,36,20
185,1,0.13741707801818848,16,36
186,0,0.12388491630554199,35,21
187,0,0.12350797653198242,39,20
188,1,0.15714704990386963,22,38
189,0,0.14033305644989014,40,19
190,1,0.1134570837020874,14,36
191,0,0.13207292556762695,36,34
192,0,0.1704319715499878,35,21
193,1,0.1726170778274536,26,38
194,0,0.12181198596954346,35,21
195,0,0.11124706268310547,35,23
196,1,0.1863689422607422,21,35
197,0,0.14354610443115234,38,20
198,0,0.11789906024932861,37,22
199,1,0.13071894645690918,18,36
200,0,0.1642969846725464,35,35
201,1,0.1571270227432251,21,40
202,1,0.15521299839019775,24,36
203,1,0.15716397762298584,26,37
204,0,0.14636504650115967,36,24
205,0,0.25119102001190186,35,35
206,0,0.12474799156188965,34,22
207,1,0.1232149600982666,18,38
208,1,0.14509594440460205,24,36
209,1,0.15211403369903564,34,36
210,1,0.14034295082092285,24,36
211,0,0.1435760259628296,39,24
212,0,0.16030502319335938,37,19
213,0,0.12897801399230957,37,19
214,0,0.12410604953765869,35,21
215,0,0.12818098068237305,37,23
216,0,0.14528095722198486,41,21
217,1,0.13010704517364502,20,38
218,0,0.15165293216705322,39,24
219,1,0.14623498916625977,23,40
220,1,0.1321800947189331,19,37
221,1,0.13615405559539795,22,38
222,1,0.1580890417098999,21,38
223,0,0.13047707080841064,37,25
224,1,0.12268102169036865,22,38
225,1,0.13380300998687744,20,36
226,0,0.12522900104522705,38,26
227,0,0.12082195281982422,35,35
228,1,0.15369093418121338,27,40
229,1,0.13029897212982178,34,36
230,0,0.1561739444732666,38,18
231,1,0.11496603488922119,18,38
232,1,0.12272799015045166,24,36
233,0,0.20556998252868652,38,22
234,0,0.10609710216522217,35,17
235,1,0.11629199981689453,21,35
236,0,0.13142096996307373,36,20
237,0,0.13851392269134521,35,35
238,0,0.1394559144973755,36,24
239,0,0.1462550163269043,37,23
240,0,0.14547491073608398,41,22
241,0,0.10890400409698486,36,20
242,0,0.14204108715057373,38,26
243,0,0.13441002368927002,38,22
244,0,0.1491609811782837,35,17
245,0,0.10996198654174805,37,19
246,0,0.14925611019134521,37,23
247,0,0.10850095748901367,39,18
248,0,0.14202499389648438,38,25
249,1,0.13313400745391846,24,37
250,0,0.12680602073669434,38,25
251,0,0.13078999519348145,35,21
252,0,0.14789795875549316,37,23
253,1,0.130823016166687,21,35
254,0,0.1290900707244873,38,22
255,0,0.12168502807617188,38,25
256,1,0.14157593250274658,34,36
257,1,0.1469489336013794,26,38
258,0,0.13604998588562012,36,24
259,1,0.13016903400421143,22,38
260,1,0.10399210453033447,13,35
261,0,0.09557104110717773,38,19
262,0,0.13560593128204346,36,24
263,1,0.10619497299194336,16,36
264,0,0.12584900856018066,36,24
265,0,0.134132981300354,37,27
266,0,0.1711980104446411,38,25
267,0,0.1468900442123413,38,26
268,1,0.13141608238220215,34,36
269,1,0.11562395095825195,21,35
270,1,0.12835097312927246,19,37
271,1,0.13983190059661865,26,37
272,1,0.1379380226135254,21,35
273,0,0.11949002742767334,35,23
274,1,0.11916899681091309,18,38
275,0,0.13710498809814453,36,20
276,0,0.13809704780578613,36,20
277,0,0.12789607048034668,36,23
278,1,0.15328407287597656,24,36
279,1,0.16330194473266602,21,35
280,0,0.12269604206085205,35,17
281,1,0.13090002536773682,23,35
282,0,0.14907491207122803,36,24
283,0,0.1473749876022339,38,22
284,0,0.15670692920684814,34,22
285,0,0.1445859670639038,37,21
286,0,0.12994301319122314,38,22
287,1,0.14967501163482666,24,39
288,0,0.11796998977661133,38,20
289,0,0.12081396579742432,37,23
290,0,0.10707104206085205,35,23
291,0,0.1454150676727295,35,17
292,0,0.16082799434661865,35,25
293,0,0.1589289903640747,36,20
294,1,0.11313307285308838,23,35
295,0,0.11422991752624512,35,23
296,1,0.12610101699829102,21,37
297,0,0.14883697032928467,38,25
298,0,0.180076003074646,37,23
299,0,0.14646196365356445,39,36
300,1,0.12734699249267578,24,38
301,1,0.14354097843170166,22,38
302,1,0.11735403537750244,25,37
303,1,0.10734593868255615,34,36
304,1,0.1290649175643921,27,37
305,0,0.14886903762817383,40,24
306,0,0.12830007076263428,35,35
307,1,0.13235700130462646,23,37
308,0,0.11804497241973877,36,26
309,0,0.1228330135345459,38,18
310,1,0.130173921585083,24,36
311,0,0.1276710033416748,36,24
312,1,0.13717901706695557,21,35
313,1,0.13159704208374023,21,35
314,0,0.1337350606918335,38,22
315,0,0.1279369592666626,36,22
316,0,0.16160202026367188,39,24
317,0,0.10573399066925049,35,23
318,0,0.18098700046539307,41,24
319,0,0.13861095905303955,37,22
320,1,0.13098406791687012,24,36
321,0,0.13040900230407715,37,23
322,0,0.09705996513366699,35,19
323,0,0.11461400985717773,35,21
324,0,0.12752509117126465,36,20
325,1,0.204010009765625,24,36
326,1,0.209678053855896,25,35
327,0,0.15177905559539795,36,23
328,0,0.14212799072265625,34,22
329,1,0.14152908325195312,21,35
330,1,0.12835192680358887,24,36
331,0,0.2029409408569336,35,35
332,0,0.17728006839752197,38,26
333,1,0.1583329439163208,24,36
334,0,0.1594640016555786,38,22
335,0,0.11948502063751221,35,21
336,0,0.14242291450500488,36,24
337,0,0.12155294418334961,35,17
338,0,0.16205894947052002,39,24
339,0,0.13623905181884766,36,34
340,0,0.1359790563583374,36,27
341,0,0.16655898094177246,37,23
342,0,0.15081095695495605,36,20
343,0,0.15212702751159668,37,19
344,0,0.15206694602966309,35,35
345,1,0.15981197357177734,24,36
346,1,0.1386580467224121,23,37
347,1,0.18031704425811768,21,35
348,0,0.23595094680786133,38,22
349,1,0.16255998611450195,24,36
350,0,0.15960896015167236,38,22
351,1,0.14867007732391357,20,36
352,1,0.13956594467163086,20,36
353,0,0.19610106945037842,37,19
354,0,0.14736902713775635,37,19
