GAME,WINNER,TIME,random,random,random
268,1,0.20085108280181885,25,38,24
269,1,0.2214369773864746,27,41,25
270,2,0.1962289810180664,20,24,39
271,2,0.1610260009765625,20,23,39
272,1,0.20017004013061523,19,38,25
273,2,0.19930994510650635,26,24,39
274,0,0.2266939878463745,38,24,21
275,2,0.2504791021347046,24,22,39
276,1,0.19897401332855225,25,42,24
277,0,0.25337493419647217,37,23,24
278,1,0.22574198246002197,21,37,26
279,1,0.22212302684783936,23,42,38
280,2,0.22878098487854004,27,24,42
281,0,0.18448400497436523,38,24,21
282,0,0.2152409553527832,40,21,24
283,0,0.18536007404327393,38,37,25
284,0,0.21455299854278564,42,20,27
285,2,0.22716200351715088,23,25,38
286,1,0.2245039939880371,26,42,27
287,2,0.22045302391052246,23,22,38
288,0,0.21012890338897705,38,24,24
289,0,0.19951891899108887,38,19,28
290,1,0.24504899978637695,24,37,25
291,0,0.22562503814697266,39,25,22
292,1,0.21247804164886475,27,36,23
293,0,0.22239398956298828,37,27,26
294,1,0.1977900266647339,28,37,24
295,2,0.21904301643371582,23,29,41
296,2,0.2297229766845703,25,25,46
297,0,0.2003999948501587,41,26,25
298,2,0.23801696300506592,21,19,36
299,2,0.21509599685668945,29,24,41
300,1,0.2297450304031372,23,36,25
301,0,0.2042909860610962,36,27,20
302,2,0.20888400077819824,25,39,42
303,1,0.26307010650634766,28,40,26
304,0,0.2050999402999878,38,27,23
305,1,0.1934189796447754,24,39,27
306,0,0.18528497219085693,43,24,25
307,1,0.18758702278137207,36,38,19
308,0,0.18644404411315918,38,24,25
309,0,0.18373703956604004,37,20,26
310,2,0.28146493434906006,21,21,42
311,2,0.30681705474853516,23,21,38
312,2,0.2794140577316284,28,38,41
313,0,0.18262898921966553,40,23,24
314,1,0.3268049955368042,41,44,25
315,0,0.22928202152252197,46,24,23
316,2,0.22594404220581055,27,25,43
317,2,0.21474003791809082,25,23,40
318,0,0.1828749179840088,37,24,22
319,2,0.20825910568237305,25,22,41
320,1,0.21227598190307617,24,40,22
321,2,0.1909710168838501,26,20,37
322,0,0.22363901138305664,38,25,24
323,0,0.2470710277557373,38,26,23
324,0,0.2364659309387207,38,26,18
325,1,0.22695600986480713,24,37,22
326,2,0.2198120355606079,27,38,39
327,0,0.2101290225982666,40,27,25
328,0,0.21983802318572998,41,27,25
329,0,0.20666289329528809,40,19,27
