GAME,WINNER,TIME,big,big,big,big
289,2,0.16155493259429932,36,28,59,35
290,1,0.16785597801208496,28,59,43,35
291,0,0.479403018951416,52,42,43,35
292,1,0.3300809860229492,28,59,43,28
293,0,0.18484604358673096,59,43,28,35
294,0,0.16435599327087402,59,43,28,35
295,1,0.30218005180358887,35,52,42,36
296,0,0.19915592670440674,53,21,35,42
297,2,0.17569100856781006,35,42,53,35
298,2,0.4890249967575073,35,35,59,43
299,3,0.15699195861816406,42,21,21,53
300,1,0.1647810935974121,28,59,36,28
301,1,0.6387269496917725,52,59,43,32
302,0,0.22425198554992676,53,28,28,42
303,1,0.3134869337081909,52,59,36,35
304,3,0.1856900453567505,43,35,28,59
305,1,0.17174506187438965,35,53,28,35
306,0,0.3142319917678833,59,29,35,52
307,3,0.20857691764831543,36,28,28,59
308,1,0.3517199754714966,28,59,43,35
309,2,0.1202930212020874,29,21,59,21
310,1,0.19540095329284668,52,59,36,28
311,0,0.17817997932434082,53,35,35,42
312,2,0.1776798963546753,28,42,53,28
313,2,0.17809009552001953,28,35,59,43
314,0,0.17094206809997559,59,36,35,35
315,2,0.18934202194213867,52,21,59,43
316,0,0.4176149368286133,57,39,42,46
317,2,0.19306504726409912,28,52,59,36
318,2,0.17316889762878418,21,42,53,35
319,0,0.2167290449142456,52,39,43,52
320,3,0.21318495273590088,35,35,42,53
321,3,0.20501995086669922,42,36,35,52
322,0,0.14890992641448975,53,35,21,42
323,1,0.12510895729064941,21,59,29,21
324,3,0.23551702499389648,28,28,42,53
325,2,0.19795191287994385,42,36,52,35
326,1,0.5669550895690918,35,59,43,35
327,0,0.25777995586395264,59,43,28,35
328,1,0.3583489656448364,35,59,43,28
329,0,0.3170369863510132,52,28,35,36
330,0,0.13994693756103516,53,28,28,42
331,2,0.4305720329284668,42,36,52,35
332,1,0.2753700017929077,35,59,36,21
333,1,0.2519099712371826,21,59,36,35
334,3,0.5560940504074097,39,42,46,57
335,2,0.30838000774383545,35,35,59,36
336,1,0.32766103744506836,28,59,43,35
337,1,0.2282569408416748,42,53,35,35
338,2,0.14960908889770508,35,35,59,36
339,1,0.26149797439575195,35,59,43,35
340,0,0.20715904235839844,52,42,36,35
341,3,0.35694193840026855,42,29,28,52
342,2,0.31789207458496094,28,21,59,43
343,0,0.18400394916534424,52,28,42,43
344,0,0.7024339437484741,53,28,35,42
345,0,0.1418999433517456,53,35,28,42
346,2,0.3721799850463867,42,46,57,35
347,2,0.2044510841369629,35,28,59,43
348,2,0.2648390531539917,39,46,57,42
349,1,0.1628129482269287,35,59,43,28
350,1,0.15643393993377686,28,59,29,21
351,0,0.16768300533294678,59,36,35,35
352,0,0.15988695621490479,59,36,35,35
353,2,0.2750999927520752,28,42,53,28
354,2,0.17153799533843994,42,35,53,35
355,0,0.1521090269088745,53,35,35,42
356,1,0.7702580690383911,35,59,43,35
357,0,0.3330650329589844,53,35,35,42
358,3,0.1860870122909546,35,21,42,53
359,1,0.3578619956970215,28,59,43,52
360,0,0.36820900440216064,59,43,35,35
361,2,0.17507398128509521,43,21,52,35
362,3,0.08097004890441895,42,21,21,53
363,0,0.2456660270690918,59,43,35,28
364,0,0.1881558895111084,59,43,35,35
365,3,0.18872690200805664,21,35,43,52
366,1,0.1661989688873291,42,53,35,35
367,1,0.27466893196105957,35,59,36,35
368,0,0.24320995807647705,52,52,42,40
369,3,0.2325969934463501,43,35,28,59
370,3,0.3622850179672241,21,35,43,52
