# MCTS: [] []
# PLAYERS: [MCTS_TicketToRide.PlayerType.big, MCTS_TicketToRide.PlayerType.big, MCTS_TicketToRide.PlayerType.big]
GAME,WINNER,TIME,big,big,big
264,0,0.09939694404602051,59,43,28
265,0,0.16933691501617432,52,42,36
266,2,0.11339497566223145,35,42,53
267,2,0.10426604747772217,43,28,59
268,0,0.09086596965789795,59,36,35
269,0,0.09987199306488037,59,43,28
270,1,0.1089860200881958,42,53,35
271,2,0.0892249345779419,36,35,59
272,2,0.09514105319976807,35,42,53
273,0,0.11194503307342529,53,35,42
274,2,0.08658599853515625,43,28,59
275,1,0.108551025390625,35,59,43
276,0,0.1041949987411499,59,43,35
277,0,0.10524606704711914,59,36,35
278,0,0.11102890968322754,59,43,28
279,0,0.12965703010559082,53,28,42
280,0,0.18399393558502197,59,36,28
281,1,0.11801207065582275,35,53,35
282,0,0.09797704219818115,53,35,42
283,2,0.08662796020507812,36,35,59
284,0,0.10193705558776855,59,43,28
285,1,0.14535796642303467,28,59,43
286,2,0.11487102508544922,43,28,59
287,1,0.13189101219177246,36,52,42
288,0,0.11003303527832031,53,35,42
289,2,0.235632061958313,42,35,53
290,2,0.10373306274414062,36,28,59
291,0,0.08538591861724854,59,36,28
292,1,0.08841395378112793,42,53,35
293,0,0.08104503154754639,53,21,35
294,0,0.09554100036621094,59,43,35
295,1,0.10759305953979492,28,59,43
296,1,0.0892939567565918,35,59,36
297,2,0.10520505905151367,35,42,53
298,2,0.09582901000976562,43,28,59
299,0,0.13494300842285156,59,36,35
300,1,0.08026492595672607,28,59,36
301,0,0.11141800880432129,52,42,36
302,2,0.11131393909454346,36,35,59
303,0,0.10911190509796143,59,43,28
304,0,0.41749799251556396,59,43,35
305,0,0.17487406730651855,52,42,36
306,1,0.14051496982574463,43,52,42
307,0,0.13512897491455078,59,43,28
308,0,0.09870290756225586,59,36,35
309,1,0.10970091819763184,35,59,36
310,2,0.1211310625076294,43,28,59
311,1,0.10663104057312012,43,59,28
312,0,0.11100804805755615,59,43,28
313,0,0.1170649528503418,59,43,28
314,0,0.09579503536224365,59,43,28
315,2,0.12467503547668457,36,35,59
316,1,0.08343398571014404,35,59,36
317,0,0.07800507545471191,59,43,28
318,0,0.14518499374389648,59,43,28
319,1,0.194891095161438,42,53,35
320,1,0.11296498775482178,35,59,43
321,0,0.10786294937133789,52,42,36
322,1,0.12382209300994873,35,59,36
323,0,0.22540998458862305,59,36,35
324,1,0.08980202674865723,35,59,36
325,0,0.12384307384490967,59,36,35
326,0,0.1085900068283081,59,43,28
327,0,0.12935900688171387,59,43,28
328,2,0.10926604270935059,36,35,59
329,1,0.10878503322601318,35,59,36
330,2,0.101470947265625,28,36,59
331,0,0.20629596710205078,59,36,35
332,0,0.13350903987884521,52,42,36
333,2,0.1930398941040039,35,42,53
334,0,0.1222069263458252,53,35,42
335,1,0.13483989238739014,35,59,36
336,2,0.11871194839477539,36,35,59
337,2,0.1524749994277954,42,35,53
338,2,0.15321898460388184,35,42,53
339,1,0.2222529649734497,42,53,35
340,1,0.10400402545928955,28,59,43
341,2,0.0982809066772461,36,35,59
342,0,0.10251808166503906,59,36,28
343,0,0.10645198822021484,59,43,28
344,0,0.12322509288787842,59,43,28
345,0,0.16365408897399902,59,36,35
346,1,0.11052191257476807,42,53,35
347,0,0.1362229585647583,59,43,28
348,1,0.09813690185546875,42,53,35
349,0,0.14772701263427734,59,43,28
350,2,0.10851800441741943,35,42,53
351,1,0.09277701377868652,42,53,28
352,2,0.11321902275085449,43,28,59
353,2,0.10467100143432617,36,35,59
354,0,0.09615397453308105,59,43,28
355,2,0.12180399894714355,43,28,59
356,0,0.09133589267730713,59,35,36
357,1,0.094992995262146,42,53,28
358,1,0.10644006729125977,28,59,43
359,0,0.11397600173950195,59,29,21
360,0,0.35548293590545654,53,35,42
361,0,0.10701501369476318,59,43,28
362,2,0.15144991874694824,36,35,59
363,0,0.13579905033111572,59,43,28
364,2,0.1381850242614746,42,35,53
365,0,0.1353369951248169,59,43,52
366,0,0.11173999309539795,59,43,28
367,1,0.10602796077728271,42,53,35
368,0,0.11501991748809814,53,35,42
369,1,0.10452389717102051,42,53,35
370,0,0.10520696640014648,59,36,35
371,1,0.20980894565582275,21,59,43
372,2,0.10935008525848389,43,28,59
