# MCTS: [] []
# PLAYERS: [MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random]
GAME,WINNER,TIME,random,random,random,random,random
133,2,0.5124759674072266,23,27,44,21,23
134,4,0.628277063369751,29,21,25,21,42
135,0,0.6864759922027588,41,28,23,25,28
136,1,0.6713860034942627,27,46,34,34,25
137,0,0.5200520753860474,44,17,27,18,28
138,0,0.591702938079834,47,28,26,22,25
139,3,0.6860690116882324,27,29,28,43,42
140,0,0.7225080728530884,45,45,27,25,27
141,3,0.5359129905700684,21,27,17,42,19
142,1,0.6350740194320679,19,45,28,44,29
143,0,0.48357200622558594,44,23,27,41,33
144,0,0.5490330457687378,41,25,25,30,31
145,4,0.497994065284729,23,23,24,21,42
146,2,0.5277239084243774,28,19,47,23,24
147,4,0.5325310230255127,32,28,30,27,45
148,2,0.5216939449310303,20,19,41,20,31
149,4,0.45428895950317383,25,29,18,27,39
150,1,0.6158790588378906,21,39,26,28,24
151,4,0.5544040203094482,23,16,24,22,42
152,4,0.6460549831390381,28,27,31,24,42
153,0,0.5218690633773804,44,26,22,23,22
154,2,0.6033580303192139,19,24,41,30,24
155,2,0.4701509475708008,21,25,39,26,19
156,1,0.6930080652236938,44,45,27,44,33
157,2,0.612942099571228,31,27,45,27,25
158,4,0.5815891027450562,27,29,25,23,42
159,1,0.6707099676132202,24,45,28,24,24
160,0,0.6548329591751099,47,25,28,26,26
161,0,0.6510040760040283,42,25,18,30,30
162,3,0.6355190277099609,28,42,24,45,16
163,0,0.5757060050964355,44,30,27,31,26
164,3,0.624148964881897,32,32,27,46,29
165,4,0.5865589380264282,28,28,28,26,42
166,3,0.5331270694732666,18,21,20,41,20
167,2,0.49334001541137695,19,20,43,30,29
168,0,0.748336911201477,42,27,25,21,30
169,2,0.5443309545516968,25,28,44,28,26
170,2,0.5753049850463867,21,31,47,34,26
171,4,0.4777590036392212,24,26,20,31,43
172,0,0.527122974395752,42,28,29,23,30
173,2,0.4441640377044678,18,26,41,28,21
174,2,0.39652109146118164,29,17,42,23,19
175,3,0.4671679735183716,28,25,26,39,23
176,1,0.5056959390640259,26,44,27,33,18
177,2,0.4454050064086914,24,25,41,27,21
178,0,0.46012699604034424,42,30,22,20,24
179,1,0.509768009185791,30,47,30,24,24
180,0,0.4863380193710327,46,27,29,30,26
181,0,0.49073803424835205,45,28,44,17,28
182,0,0.45208096504211426,42,30,24,26,30
183,0,0.4647049903869629,41,25,25,26,14
184,3,0.43971502780914307,27,21,20,41,28
185,0,0.47564995288848877,39,30,31,18,27
186,0,0.44453299045562744,43,21,23,23,27
187,2,0.4835890531539917,23,29,42,19,18
188,1,0.4506499767303467,22,47,28,28,27
189,3,0.5196800231933594,29,28,27,38,30
190,1,0.446133017539978,25,41,18,28,29
191,1,0.4655719995498657,29,42,28,31,21
192,2,0.5224119424819946,31,24,45,30,25
193,3,0.6423989534378052,25,28,30,39,30
194,0,0.4471869468688965,44,30,14,28,22
195,4,0.5735390186309814,20,21,27,20,43
196,0,0.6371959447860718,41,29,25,23,27
197,0,0.6705460548400879,44,29,31,28,27
198,2,0.5354670286178589,30,25,39,24,27
199,3,0.5267419815063477,29,17,14,47,23
200,1,0.6892249584197998,28,41,25,27,24
201,3,0.474173903465271,21,20,24,42,31
202,3,0.4913989305496216,22,25,28,42,28
203,0,0.6205220222473145,42,25,29,26,29
204,2,0.5549869537353516,21,16,41,18,31
205,3,0.5130149126052856,28,30,29,45,23
206,4,0.5853369235992432,25,28,24,23,45
207,1,0.5632600784301758,16,41,28,25,21
208,2,0.5408689975738525,22,23,45,30,28
209,1,0.4919940233230591,18,42,25,17,24
210,0,0.5365650653839111,39,28,27,13,31
211,3,0.4589409828186035,30,22,20,43,43
212,1,0.4889709949493408,26,43,22,25,22
213,1,0.5455100536346436,27,43,32,23,30
214,2,0.36997807025909424,14,19,41,21,17
215,1,0.4689410924911499,24,44,24,26,27
216,0,0.5371239185333252,45,31,22,17,30
217,0,0.5139510631561279,44,43,31,26,25
218,0,0.43523693084716797,44,21,21,23,32
219,0,0.4591289758682251,42,28,26,24,32
220,4,0.4792649745941162,28,31,20,30,42
221,3,0.6046509742736816,26,25,27,43,24
222,1,0.5243229866027832,22,39,19,25,26
223,0,0.43914008140563965,42,28,26,17,27
224,3,0.3843729496002197,18,23,14,42,23
225,4,0.37815189361572266,23,23,23,31,44
226,2,0.48837995529174805,39,24,41,28,30
227,1,0.47943592071533203,31,42,30,27,41
228,3,0.4771249294281006,23,31,30,45,23
229,0,0.3720560073852539,42,23,21,24,17
230,4,0.5384200811386108,30,30,29,30,47
231,4,0.5178039073944092,30,28,30,30,41
232,3,0.5617510080337524,28,25,25,46,24
233,2,0.4496300220489502,26,27,45,26,23
234,3,0.5367380380630493,18,29,27,41,30
235,0,0.6141359806060791,47,32,27,30,46
236,2,0.37944304943084717,16,21,39,21,16
237,0,0.4200899600982666,41,27,25,24,20
238,0,0.4113661050796509,39,14,25,22,24
239,3,0.4401829242706299,23,25,25,41,20
240,1,0.4033839702606201,14,40,27,15,21
241,0,0.5108590126037598,46,31,27,28,23
242,1,0.4896869659423828,22,39,22,28,30
243,0,0.3885509967803955,39,19,23,28,31
244,2,0.5088189840316772,28,30,44,23,27
245,1,0.4966360330581665,26,45,28,27,25
246,3,0.46360695362091064,22,27,21,42,19
