# MCTS: [] []
# PLAYERS: [MCTS_TicketToRide.PlayerType.big, MCTS_TicketToRide.PlayerType.big]
GAME,PLAYERS,WINNER,TIME
653,bb,0,0.028728008270263672
654,bb,1,0.027572035789489746
655,bb,0,0.023356080055236816
656,bb,1,0.027855992317199707
657,bb,1,0.020849943161010742
658,bb,0,0.024296998977661133
659,bb,1,0.02919292449951172
660,bb,0,0.02752506732940674
661,bb,0,0.019797921180725098
662,bb,1,0.035230040550231934
663,bb,1,0.020942091941833496
664,bb,1,0.022497057914733887
665,bb,0,0.02432405948638916
666,bb,0,0.023943066596984863
667,bb,0,0.028357982635498047
668,bb,1,0.026266098022460938
669,bb,1,0.02165508270263672
670,bb,0,0.022503018379211426
671,bb,0,0.02376699447631836
672,bb,1,0.02921903133392334
673,bb,1,0.025887012481689453
674,bb,0,0.02564406394958496
675,bb,0,0.04278707504272461
676,bb,1,0.028558969497680664
677,bb,1,0.020168066024780273
678,bb,1,0.02592301368713379
679,bb,0,0.024425029754638672
680,bb,0,0.026288986206054688
681,bb,0,0.04125094413757324
682,bb,0,0.01943492889404297
683,bb,0,0.025967955589294434
684,bb,0,0.02532804012298584
685,bb,1,0.023103952407836914
686,bb,0,0.02623903751373291
687,bb,0,0.026991963386535645
688,bb,0,0.04449594020843506
689,bb,1,0.025699973106384277
690,bb,1,0.02944004535675049
691,bb,0,0.025411009788513184
692,bb,0,0.028666019439697266
693,bb,1,0.02255094051361084
694,bb,0,0.0533599853515625
695,bb,0,0.02453899383544922
696,bb,0,0.027313947677612305
697,bb,0,0.025822043418884277
698,bb,1,0.026960015296936035
699,bb,0,0.0273820161819458
700,bb,0,0.020640015602111816
701,bb,1,0.02387702465057373
702,bb,1,0.025245070457458496
703,bb,1,0.020473003387451172
704,bb,0,0.021597981452941895
705,bb,1,0.027463078498840332
706,bb,0,0.02569901943206787
707,bb,1,0.02186906337738037
708,bb,0,0.020228981971740723
709,bb,0,0.027415037155151367
710,bb,0,0.02682197093963623
711,bb,1,0.02781498432159424
712,bb,0,0.02772998809814453
713,bb,0,0.02973306179046631
714,bb,0,0.02037203311920166
715,bb,0,0.026980996131896973
716,bb,1,0.02638101577758789
717,bb,1,0.02632606029510498
718,bb,0,0.0511399507522583
719,bb,1,0.025807976722717285
720,bb,1,0.038474082946777344
721,bb,0,0.023761987686157227
722,bb,0,0.027781963348388672
723,bb,0,0.024510979652404785
724,bb,0,0.022089004516601562
725,bb,1,0.024056077003479004
726,bb,0,0.01974797248840332
727,bb,1,0.026010990142822266
728,bb,0,0.02473294734954834
729,bb,1,0.017735958099365234
730,bb,1,0.025017976760864258
731,bb,0,0.030657052993774414
732,bb,1,0.027418971061706543
733,bb,0,0.02587103843688965
734,bb,0,0.023012995719909668
735,bb,1,0.026091933250427246
736,bb,0,0.058825016021728516
737,bb,1,0.023160099983215332
738,bb,0,0.023812055587768555
739,bb,1,0.021039962768554688
740,bb,0,0.021260976791381836
741,bb,1,0.02466607093811035
742,bb,1,0.02173304557800293
743,bb,1,0.02695596218109131
744,bb,0,0.030120015144348145
745,bb,1,0.039436936378479004
746,bb,0,0.022572994232177734
747,bb,0,0.027781009674072266
748,bb,0,0.027782917022705078
749,bb,0,0.021705985069274902
750,bb,0,0.03020501136779785
751,bb,1,0.029344916343688965
752,bb,0,0.026324033737182617
753,bb,0,0.0226590633392334
754,bb,1,0.023118019104003906
755,bb,0,0.024032950401306152
756,bb,0,0.02538299560546875
757,bb,1,0.03774309158325195
758,bb,1,0.02899491786956787
759,bb,0,0.023267030715942383
760,bb,0,0.029188990592956543
761,bb,1,0.028590917587280273
762,bb,1,0.028225064277648926
763,bb,1,0.06122589111328125
764,bb,1,0.026705026626586914
765,bb,1,0.041972994804382324
766,bb,1,0.03396201133728027
767,bb,0,0.04204297065734863
768,bb,1,0.02396094799041748
769,bb,1,0.07066893577575684
770,bb,1,0.02774500846862793
771,bb,0,0.02592003345489502
772,bb,0,0.03948700428009033
773,bb,0,0.022585034370422363
774,bb,0,0.023427963256835938
775,bb,1,0.026602983474731445
776,bb,0,0.022276997566223145
777,bb,1,0.0237579345703125
778,bb,0,0.02497696876525879
779,bb,1,0.025170087814331055
780,bb,0,0.027879953384399414
781,bb,1,0.05159294605255127
782,bb,0,0.02811300754547119
783,bb,0,0.023769021034240723
784,bb,1,0.025332927703857422
785,bb,0,0.023846983909606934
786,bb,1,0.02647697925567627
787,bb,1,0.05034589767456055
788,bb,0,0.046621084213256836
789,bb,0,0.023220062255859375
790,bb,1,0.021319031715393066
791,bb,0,0.02618992328643799
792,bb,1,0.02523791790008545
793,bb,0,0.02321803569793701
794,bb,0,0.03413200378417969
795,bb,1,0.027006983757019043
796,bb,0,0.029760003089904785
797,bb,0,0.02510702610015869
798,bb,0,0.024569988250732422
799,bb,1,0.024946928024291992
800,bb,0,0.018023014068603516
801,bb,1,0.02233707904815674
802,bb,0,0.026626944541931152
803,bb,1,0.026666998863220215
804,bb,0,0.02983701229095459
805,bb,1,0.03799796104431152
806,bb,0,0.024441003799438477
807,bb,0,0.02390909194946289
808,bb,0,0.02101898193359375
809,bb,0,0.028753995895385742
810,bb,1,0.025490999221801758
811,bb,1,0.029363036155700684
812,bb,0,0.027725934982299805
813,bb,0,0.02797400951385498
814,bb,0,0.05678904056549072
815,bb,1,0.02107107639312744
816,bb,0,0.023859024047851562
817,bb,0,0.023357033729553223
818,bb,1,0.019714951515197754
819,bb,0,0.028348088264465332
820,bb,0,0.02409493923187256
821,bb,1,0.05126798152923584
822,bb,1,0.027947068214416504
823,bb,1,0.0209200382232666
824,bb,1,0.02443993091583252
825,bb,0,0.02356100082397461
826,bb,0,0.03755903244018555
827,bb,1,0.060502052307128906
828,bb,1,0.02428603172302246
829,bb,1,0.03270602226257324
830,bb,0,0.06628501415252686
831,bb,1,0.024224042892456055
832,bb,0,0.02372300624847412
833,bb,1,0.02947998046875
834,bb,0,0.022990107536315918
835,bb,1,0.04680299758911133
836,bb,0,0.05292999744415283
