# MCTS: [] []
# PLAYERS: [MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random]
GAME,WINNER,TIME,random,random,random,random
353,3,0.4305419921875,19,30,27,47
354,1,0.48391807079315186,27,42,33,28
355,0,0.46217405796051025,40,20,29,28
356,1,0.4191499948501587,20,45,43,21
357,3,0.41087496280670166,27,26,17,39
358,3,0.46762096881866455,26,25,30,42
359,2,0.4567089080810547,27,23,44,22
360,0,0.4129849672317505,40,24,20,15
361,2,0.38425397872924805,22,22,42,26
362,0,0.47789597511291504,45,24,41,20
363,0,0.35034191608428955,40,21,17,19
364,2,0.3641650676727295,21,22,39,20
365,1,0.41943395137786865,32,43,30,28
366,1,0.3877919912338257,20,42,25,18
367,3,0.4038960933685303,28,32,26,45
368,0,0.39369797706604004,40,23,28,25
369,3,0.4533059597015381,24,21,21,44
370,0,0.41704607009887695,43,29,24,31
371,2,0.4239959716796875,27,28,38,20
372,1,0.41954195499420166,28,41,26,24
373,0,0.5339070558547974,41,27,32,24
374,3,0.3762630224227905,20,22,25,41
375,0,0.3882570266723633,42,22,20,25
376,1,0.4377880096435547,23,42,25,21
377,0,0.428131103515625,40,27,24,28
378,1,0.28951001167297363,20,38,12,14
379,2,0.45548105239868164,24,25,45,42
380,1,0.5139790773391724,21,44,20,28
381,3,0.47182703018188477,33,27,26,44
382,1,0.4172840118408203,22,44,26,16
383,0,0.5095280408859253,38,27,26,26
384,1,0.3999220132827759,23,42,22,22
385,1,0.3872569799423218,27,43,24,19
386,0,0.3144710063934326,41,16,18,19
387,2,0.32545602321624756,22,21,41,22
388,0,0.5337649583816528,45,29,30,44
389,0,0.4651530981063843,45,24,29,25
390,0,0.5429049730300903,45,32,29,45
391,3,0.5115200281143188,22,26,30,42
392,2,0.41898393630981445,25,19,41,16
393,1,0.5231389999389648,27,41,27,25
394,0,0.40797102451324463,38,19,26,18
395,2,0.48088598251342773,25,27,43,22
396,1,0.42150306701660156,25,40,39,21
397,1,0.3840090036392212,22,39,22,19
398,1,0.4190859794616699,30,43,26,20
399,0,0.41611289978027344,39,22,29,37
400,0,0.4131070375442505,43,17,21,19
401,1,0.4669300317764282,28,48,24,26
402,1,0.44200611114501953,23,43,23,30
403,0,0.5061230659484863,42,23,25,26
404,3,0.44671201705932617,27,20,20,39
405,0,0.5242879390716553,42,29,29,27
406,1,0.45059895515441895,23,38,20,25
407,0,0.47050392627716064,42,29,24,41
408,2,0.443789005279541,24,29,42,28
409,1,0.46685004234313965,30,46,28,32
410,3,0.38767099380493164,27,20,24,45
411,0,0.37123799324035645,38,20,12,22
412,1,0.359205961227417,21,41,22,24
413,1,0.45468103885650635,30,44,24,33
414,2,0.42274200916290283,24,24,45,30
415,2,0.3730229139328003,22,23,39,25
416,3,0.4671759605407715,22,22,25,40
417,2,0.40799498558044434,29,26,39,22
418,3,0.36630797386169434,21,23,18,37
419,1,0.449504017829895,27,43,25,22
420,0,0.38943707942962646,41,26,22,20
421,1,0.3802889585494995,24,41,39,21
422,3,0.4339190721511841,20,26,27,39
423,0,0.40107500553131104,39,26,22,24
424,1,0.4737210273742676,28,40,37,22
425,3,0.46327507495880127,20,19,25,41
426,2,0.4227559566497803,28,23,39,23
427,1,0.460116982460022,21,42,22,27
428,2,0.4833019971847534,28,25,40,31
429,3,0.46356499195098877,29,25,25,44
430,0,0.4278090000152588,40,28,21,19
431,0,0.4407370090484619,40,28,26,25
432,0,0.43250393867492676,43,27,27,25
433,2,0.43693506717681885,26,22,39,23
434,2,0.4485340118408203,27,26,43,21
435,1,0.4095050096511841,26,43,16,27
436,2,0.4140629768371582,18,20,42,25
437,0,0.4940410852432251,42,25,30,42
438,0,0.5045510530471802,42,29,22,40
439,1,0.39042699337005615,27,41,22,28
440,1,0.4882369041442871,42,43,29,20
441,2,0.30765199661254883,22,25,39,26
442,0,0.40754103660583496,40,23,19,24
443,0,0.4243220090866089,44,34,20,25
444,2,0.3806840181350708,19,19,42,24
445,1,0.4362250566482544,23,41,22,20
446,3,0.3903319835662842,17,15,26,43
447,2,0.44332897663116455,18,22,42,27
448,1,0.44802701473236084,24,39,20,23
449,0,0.5085320472717285,44,26,28,28
450,1,0.4214280843734741,23,39,21,22
