# MCTS: [] []
# PLAYERS: [MCTS_TicketToRide.PlayerType.big, MCTS_TicketToRide.PlayerType.big]
GAME,WINNER,TIME,big,big
80,1,0.06552696228027344,43,59
81,0,0.08217096328735352,60,35
82,0,0.1667569875717163,59,43
83,0,0.058139920234680176,59,43
84,0,0.06177401542663574,59,43
85,0,0.17150497436523438,53,35
86,0,0.05842697620391846,59,43
87,0,0.04725301265716553,53,42
88,0,0.06257104873657227,59,43
89,0,0.07958400249481201,59,43
90,0,0.05909299850463867,59,43
91,1,0.06174898147583008,36,59
92,0,0.04173898696899414,53,42
93,0,0.06072807312011719,59,43
94,1,0.06469297409057617,43,59
95,1,0.07308197021484375,43,59
96,0,0.06320798397064209,59,43
97,0,0.05951404571533203,59,43
98,0,0.07752597332000732,59,43
99,1,0.07553398609161377,43,59
100,0,0.06475400924682617,59,43
101,1,0.06092202663421631,43,59
102,0,0.046079039573669434,53,42
103,0,0.04318702220916748,60,35
104,0,0.10107004642486572,59,43
105,0,0.0707249641418457,59,43
106,0,0.06061899662017822,59,43
107,1,0.05616891384124756,43,59
108,1,0.06756198406219482,43,59
109,0,0.07933294773101807,59,43
110,1,0.07672500610351562,43,59
111,1,0.08977305889129639,43,59
112,0,0.05002796649932861,59,43
113,1,0.0769050121307373,43,59
114,1,0.1050180196762085,43,59
115,0,0.06980907917022705,60,28
116,0,0.11605989933013916,59,43
117,1,0.06521093845367432,43,59
118,1,0.13874995708465576,43,59
119,0,0.03683292865753174,60,21
120,0,0.04180192947387695,53,42
121,1,0.05882596969604492,43,59
122,0,0.05965304374694824,59,43
123,1,0.048623085021972656,43,59
124,1,0.05550992488861084,42,53
125,0,0.09805405139923096,59,43
126,0,0.0655890703201294,59,43
127,0,0.05757403373718262,59,36
128,1,0.056369900703430176,43,59
129,1,0.05045592784881592,43,59
130,0,0.059744954109191895,59,43
131,0,0.06574904918670654,59,43
132,0,0.047442078590393066,53,42
133,0,0.058596014976501465,59,43
134,0,0.054360032081604004,59,43
135,1,0.07820594310760498,43,59
136,1,0.0598909854888916,43,59
137,0,0.056401968002319336,59,43
138,0,0.057803988456726074,59,43
139,0,0.05495798587799072,59,43
140,0,0.05424606800079346,59,43
141,1,0.06565701961517334,43,59
142,1,0.05812489986419678,43,59
143,1,0.09618794918060303,42,53
144,0,0.05499601364135742,59,36
145,0,0.0501939058303833,59,43
146,0,0.06049501895904541,59,43
147,0,0.06374597549438477,59,43
148,1,0.06476497650146484,43,59
149,0,0.0534360408782959,59,43
150,1,0.07976400852203369,43,59
151,0,0.05571293830871582,59,43
152,0,0.053511977195739746,59,43
153,0,0.04682600498199463,53,35
154,0,0.0559689998626709,59,43
155,1,0.05512595176696777,43,59
156,0,0.0473020076751709,53,42
157,0,0.07708799839019775,59,36
158,0,0.05627894401550293,59,43
159,1,0.04671204090118408,43,59
160,1,0.05880999565124512,43,59
161,0,0.06074404716491699,59,43
162,0,0.05975794792175293,59,43
163,1,0.0628119707107544,43,59
164,0,0.05013298988342285,53,42
165,0,0.058534979820251465,59,43
166,0,0.04612898826599121,53,42
167,0,0.066520094871521,59,43
168,0,0.06056201457977295,59,43
169,1,0.05444896221160889,42,53
170,1,0.06320393085479736,43,59
171,1,0.06300294399261475,43,59
172,0,0.05562710762023926,59,43
173,1,0.10154199600219727,43,59
174,0,0.05111408233642578,59,36
175,1,0.04780995845794678,36,59
176,1,0.058102965354919434,43,59
177,0,0.047807931900024414,53,35
178,1,0.07845199108123779,42,53
179,0,0.05597507953643799,59,43
180,1,0.057662010192871094,43,59
181,0,0.05193901062011719,53,42
182,0,0.06505489349365234,59,43
183,1,0.04523801803588867,21,60
184,1,0.055914998054504395,43,59
185,0,0.0534900426864624,59,43
186,1,0.0654228925704956,43,59
187,0,0.06142699718475342,59,43
188,1,0.06385695934295654,43,59
189,1,0.0570451021194458,36,59
190,0,0.0729750394821167,59,43
191,1,0.07719206809997559,43,59
192,1,0.060989975929260254,35,53
193,1,0.09660196304321289,43,59
194,1,0.16782903671264648,43,59
195,0,0.061164021492004395,59,43
196,0,0.06671297550201416,59,43
197,1,0.06046795845031738,43,59
198,0,0.07398200035095215,59,43
199,1,0.05619394779205322,36,59
200,1,0.16190505027770996,43,59
201,0,0.07012903690338135,59,43
202,0,0.12040507793426514,59,43
203,0,0.057829976081848145,59,43
